2016-11-28 23:42:04,669 [5] - [SMSSystem] #Error | Your message is invalid, please try again.
2016-11-28 23:42:04,669 [5] - [SMSSystem] #Error | Your message is invalid, please try again.
2016-11-28 23:43:13,506 [6] - [SMSSystem] #INFO | Start Registration Request ..
2016-11-28 23:43:13,506 [6] - [SMSSystem] #INFO | Start Registration Request ..
2016-11-28 23:43:13,546 [6] - [SMSSystem] #Error | Your message for registration is invalid, please try again.
2016-11-28 23:43:13,546 [6] - [SMSSystem] #Error | Your message for registration is invalid, please try again.
2016-11-28 23:43:13,547 [6] - [SMSSystem] #INFO | End Registration Request.
2016-11-28 23:43:13,547 [6] - [SMSSystem] #INFO | End Registration Request.
2016-11-28 23:43:25,957 [5] - [SMSSystem] #INFO | Start Registration Request ..
2016-11-28 23:43:25,957 [5] - [SMSSystem] #INFO | Start Registration Request ..
2016-11-28 23:43:25,998 [5] - [SMSSystem] #Error | Your message for registration is invalid, please try again.
2016-11-28 23:43:25,998 [5] - [SMSSystem] #Error | Your message for registration is invalid, please try again.
2016-11-28 23:43:25,999 [5] - [SMSSystem] #INFO | End Registration Request.
2016-11-28 23:43:25,999 [5] - [SMSSystem] #INFO | End Registration Request.
2016-11-28 23:43:33,742 [6] - [SMSSystem] #INFO | Start Registration Request ..
2016-11-28 23:43:33,742 [6] - [SMSSystem] #INFO | Start Registration Request ..
2016-11-28 23:43:33,743 [6] - [SMSSystem] #INFO | Successfully Registered.
2016-11-28 23:43:33,743 [6] - [SMSSystem] #INFO | Successfully Registered.
2016-11-28 23:43:33,743 [6] - [SMSSystem] #INFO | End Registration Request.
2016-11-28 23:43:33,743 [6] - [SMSSystem] #INFO | End Registration Request.
